Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
11.3,0.352,7.547,4.489,-12.256,8.11,4.268
11.35,0.285,8.566,5.416,-14.756,8.537,8.11
11.4,-0.055,7.882,4.779,0.427,13.659,3.598
11.45,0.342,7.46,4.98,-13.659,11.707,6.829
11.5,0.579,6.656,4.932,10.122,10,2.073
11.55,-0.828,8.272,4.772,2.683,13.11,-0.244
11.6,0.991,7.166,4.657,19.939,0.244,1.524
11.65,-1.583,7.003,4.204,20.976,10.305,-1.037
11.7,-0.031,7.585,5.535,31.28,13.476,-6.098
11.75,-0.364,8.073,4.384,32.317,8.841,-7.439
11.8,1.611,9.838,1.769,29.085,10.671,-1.89
11.85,-1.511,9.213,3.357,32.073,1.402,-3.171
11.9,-2.057,8.65,2.399,15.244,-5.427,1.098
11.95,0.479,11.174,2.21,2.012,0.671,-5.549
12,-0.019,8.868,3.711,0.732,2.5,-2.5
12.05,-0.527,9.057,3.1,-0.488,2.256,-3.171
12.1,-0.555,8.947,3.105,15.427,2.927,-2.5
12.15,-0.045,8.468,3.594,0.732,2.5,-2.195
12.2,-0.34,8.758,3.488,0.488,2.378,-2.439
12.25,-0.426,8.777,3.505,-0.305,2.805,-2.256
12.3,-0.484,8.863,3.491,0.488,0.976,-2.988
12.35,-0.577,8.873,3.156,3.293,-5.366,-5.549
12.4,-0.163,8.207,3.68,5.488,5.427,-1.463
12.45,-0.182,9.177,2.753,5.488,-2.073,-7.195
12.5,-1.377,8.959,3.536,10.061,1.951,-4.939
12.55,-0.464,9.213,3.852,8.293,-0.488,-6.707
12.6,-0.453,8.851,3.247,8.902,-0.366,-6.402
12.65,0.022,8.902,2.902,14.756,1.341,-5.244
12.7,-1.317,9.902,3.062,20.61,0.61,-6.159
12.75,-0.223,9.06,2.607,28.841,-3.049,-3.171
12.8,0.091,8.842,3.105,40.854,-3.293,-9.939
12.85,-0.22,8.803,2.722,50.793,-2.744,-8.902
12.9,-0.589,9.402,2.09,53.537,3.354,-5.122
12.95,-0.601,10.008,1.022,54.268,3.963,-5.915
13,-0.881,9.948,0.242,43.354,5.366,15.366
13.05,-0.627,10.084,-0.608,27.134,1.524,-0.488
13.1,-0.742,10.252,0.326,4.756,3.11,-4.573
13.15,-0.697,9.922,0.041,0.854,2.988,-3.476
13.2,-0.709,10.003,0.206,-1.159,3.11,-0.854
13.25,-0.493,10.065,0,0.488,2.805,-0.305
13.3,-0.326,9.929,0.388,-0.732,1.829,-1.89
13.35,-0.486,9.986,0.165,1.037,2.195,-4.451
13.4,-0.9,9.847,0.227,2.317,2.866,0.61
13.45,-0.634,9.507,0.026,2.439,2.805,1.646
13.5,0.093,10.106,-0.06,-0.915,1.829,-7.561
13.55,-0.508,9.974,0.381,-1.159,3.232,-5.61
13.6,-0.984,9.998,0.06,0.793,2.439,-1.585
13.65,-0.536,9.938,0.086,-0.122,2.988,-1.829
13.7,-0.424,9.785,0.342,0,2.134,-3.841
13.75,-0.409,10.336,0.053,-1.098,2.439,-3.171
13.8,-0.692,9.754,0.151,-0.793,1.768,-3.232
13.85,-0.644,9.924,0.237,-15.61,2.256,-1.585
13.9,-0.587,9.9,0.441,0.976,1.951,-1.646
13.95,-0.613,9.912,0.271,-0.793,1.707,-3.293
14,-0.694,9.752,0.314,0.488,2.195,-3.659
14.05,-0.879,10.187,-0.022,2.805,2.683,-3.72
14.1,-0.503,10.101,0.314,-0.915,2.256,-1.098
14.15,-0.46,9.919,0.17,0.671,2.317,-3.293
14.2,-0.642,9.862,0.23,-0.488,2.256,-4.695
14.25,-0.809,9.905,0.4,1.28,0.61,-0.122
14.3,-0.261,9.953,0.18,0.793,2.683,-1.646
14.35,-0.352,9.867,0.105,-0.183,2.805,-5.061
14.4,-0.776,9.764,0.45,-15.305,2.378,-1.037
14.45,-0.977,9.847,0.5,5.976,0.793,2.561
14.5,-0.922,9.773,0.304,5.488,2.805,1.585
14.55,-0.433,10.039,0.124,5.915,3.232,2.927
14.6,-0.436,10.072,-0.103,3.293,6.159,2.561
14.65,-0.611,10.029,-0.244,-1.524,14.939,-5.488
14.7,-0.455,9.85,0.151,-2.378,18.537,-10.366
14.75,-0.622,10.472,-0.129,-2.561,19.451,-8.841
14.8,-0.86,9.701,-0.347,-6.829,18.293,-11.037
14.85,-1.396,9.62,-0.335,-3.78,16.159,-4.573
14.9,-0.704,9.883,-0.067,0.732,7.988,-0.366
14.95,-0.697,9.835,-0.141,-1.402,5.793,-3.049
15,-0.397,9.263,-0.055,-4.695,7.866,-2.439
15.05,-1.08,9.814,0.292,0.305,-0.976,1.524
15.1,-0.737,9.871,0.385,-2.317,2.317,2.378
15.15,0.227,9.541,0.524,0.183,4.512,-2.927
15.2,-0.551,10.621,-0.481,-2.439,5.671,-7.378
15.25,-1.247,11.138,-0.12,-10.183,4.329,4.024
15.3,-0.259,9.845,-1.176,-8.72,7.988,8.415
15.35,-0.45,10.578,-0.388,-21.098,14.146,11.646
15.4,-0.747,10.321,-0.433,-29.756,21.646,10.915
15.45,-0.86,9.689,1.171,-28.78,22.683,17.744
15.5,0.278,8.653,1.329,-23.902,30.488,17.134
15.55,-0.041,9.538,1.477,-18.537,34.024,18.659
15.6,0.256,9.481,1.288,-18.659,31.341,19.146
15.65,0.373,8.892,1.348,-13.232,36.829,14.39
15.7,-0.453,10.048,3.043,4.329,28.171,7.256
15.75,0.041,9.242,1.101,17.439,14.207,0.671
15.8,-1.223,6.306,1.408,14.939,13.476,-0.427
15.85,1.176,9.639,1.494,2.134,11.28,-1.28
15.9,-0.081,9.692,1.93,-4.085,10.305,2.439
15.95,0.012,10.444,0.575,1.402,2.805,-6.585
16,-0.192,9.785,1.061,-6.402,-2.317,-6.037
16.05,0.254,10.094,1.13,-6.585,2.195,-5.793
16.1,-0.599,9.754,1.453,-4.085,0.854,-3.171
16.15,0.259,9.663,1.477,0.915,2.988,-1.951
16.2,-0.022,9.924,1.267,-1.037,5.305,-2.5
16.25,-0.017,9.89,0.831,-2.683,11.646,1.524
16.3,0.072,9.768,1.274,-2.439,14.634,1.22
16.35,-0.376,10.111,0.773,-1.829,17.866,6.768
16.4,0.421,9.998,1.456,-7.5,20.122,3.659
16.45,0.014,10.02,1.322,-22.256,22.622,-2.439
16.5,-0.359,9.936,1.034,-25.854,12.5,-2.805
16.55,0.204,9.646,1.796,-23.293,12.378,-4.695
16.6,-0.254,9.893,2.059,-18.415,19.695,0.305
16.65,0.417,9.586,2.061,-19.695,20.244,0.488
16.7,-0.189,9.433,1.865,-20.061,19.451,3.963
16.75,-0.493,9.206,1.686,-26.098,22.561,6.159
16.8,-0.536,9.689,2.662,-17.439,17.622,8.902
16.85,-0.151,10.072,2.978,-16.463,16.159,8.293
16.9,0.139,8.799,3.043,-13.049,12.744,2.805
16.95,-0.144,8.574,2.614,-12.927,12.683,7.439
17,-0.206,9.342,3.249,-8.537,12.805,8.598
17.05,0.024,9.644,2.88,-13.902,10.976,3.049
17.1,0.917,9.85,2.354,-10.976,1.22,-0.854
17.15,0.476,8.763,3.9,1.037,1.89,-3.293
17.2,0.259,8.964,3.069,1.951,1.707,-3.476
17.25,0.223,8.696,2.77,3.049,4.024,-2.134
17.3,-0.22,9.1,3.089,-1.037,3.78,-1.524
17.35,-0.041,8.973,3.328,-5.854,1.585,1.28
17.4,0.467,8.815,2.931,-9.329,0.366,6.768
17.45,-0.127,9.579,3.036,-4.573,4.451,4.939
17.5,0.067,9.55,2.947,-6.89,13.841,3.598
17.55,1.022,8.665,4.164,-6.22,16.463,4.451
17.6,0.4,9.443,3.893,1.768,29.512,-1.707
17.65,-0.136,7.681,3.816,13.963,21.463,-1.707
17.7,0.673,7.369,3.179,22.195,27.744,-7.622
17.75,0.39,8.231,3.474,31.098,36.768,-7.134
17.8,-0.139,7.58,4.118,46.707,41.341,-29.756
17.85,0.187,8.969,2.097,65.366,46.098,-20.122
17.9,-5.404,9.531,0.127,-3.841,22.927,3.78
17.95,-0.998,9.613,1.348,-8.171,14.024,6.463
18,-0.33,10.101,1.939,-5.915,13.598,2.561
18.05,-0.429,9.953,2.241,2.378,12.683,-4.451
18.1,-1.132,8.095,2.425,-0.122,17.134,-5.122
18.15,-1.901,9.538,1.58,1.646,2.622,-2.866
18.2,-0.694,9.802,2.217,-0.671,3.598,-2.622
18.25,-1.168,9.572,1.839,-15.61,2.744,-2.561
18.3,-1.185,9.17,1.566,-0.061,-2.378,-2.622
18.35,-0.867,8.724,2.073,-5.976,0.61,7.988
18.4,-3.44,10.259,1.077,8.598,-13.232,9.695
18.45,0.141,9.112,2.571,-3.598,-1.89,3.537
18.5,-1.597,8.564,1.891,3.232,-2.439,-8.476
18.55,-0.757,9.55,2.346,3.78,9.085,-0.976
18.6,-2.835,11.832,4.056,15.244,-6.768,6.768
18.65,-1.293,9.534,1.535,-12.073,-4.39,17.927
18.7,-0.843,8.748,2.895,-9.695,-6.829,16.402
18.75,-0.505,9.462,2.808,0.915,-9.39,14.695
18.8,0.486,8.741,2.552,12.622,-13.659,15.732
18.85,0.541,10.161,2.1,-14.878,-3.232,14.268
18.9,-0.206,9.462,2.239,-0.061,-6.22,14.939
18.95,1.168,9.457,2.116,1.646,-10.061,31.159
19,2.085,9.251,2.018,3.963,-13.963,0.61
19.05,-0.232,8.423,1.671,12.195,2.256,5.366
19.1,0.781,9.558,1.659,10.793,20.061,-0.061
19.15,0.572,9.718,1.178,2.439,15.122,-4.024
19.2,0.486,9.589,1.575,-6.037,-1.646,-3.963
19.25,1.674,9.931,2.21,-2.5,3.537,-2.622
19.3,1.006,9.85,2.114,4.512,3.841,-1.402
19.35,0.445,9.598,1.762,3.232,1.402,-2.256
19.4,0.697,9.641,1.906,2.561,-15.427,-2.012
19.45,1.094,9.912,2.081,1.585,2.5,-1.524
19.5,0.706,8.94,2.456,23.476,0.915,2.988
19.55,2.464,8.499,1.379,40.976,9.146,0.183
19.6,0.488,9.752,0.955,42.134,10.671,1.28
19.65,1.164,9.522,0.541,38.72,9.146,1.524
19.7,0.845,10.125,0.273,37.988,5.305,2.927
19.75,1.085,9.967,-0.268,36.646,5.366,3.354
19.8,0.86,9.697,-0.045,35,6.768,2.378
19.85,1.058,10.235,-0.278,38.476,6.463,4.024
19.9,1.36,10.228,-1.185,31.463,6.707,2.439
19.95,0.994,11.971,-2.749,16.463,5.183,2.195
20,1.247,9.9,-0.95,19.695,3.293,2.622
20.05,0.718,10.104,-2.095,8.354,7.012,1.402
20.1,1.678,9.867,-1.891,1.646,0.244,-3.78
20.15,1.535,10.254,-1.384,-1.463,5.976,0.366
20.2,1.322,10.257,-1.621,-1.463,2.195,-4.207
20.25,0.979,9.974,-1.396,-1.341,1.585,-3.537
20.3,0.97,10.223,-1.377,2.317,2.805,-1.585
20.35,1.235,10.484,-1.425,-15.549,1.89,-2.256
20.4,1.331,10.127,-1.087,-0.061,1.951,-2.195
20.45,1.329,10.082,-1.413,7.195,5,-1.463
20.5,1.118,10.147,-2.097,-2.012,1.829,-3.232
20.55,1.183,10.171,-1.611,-1.829,4.146,-7.805
20.6,0.532,9.756,-1.111,5.549,3.232,-2.866
20.65,1.264,9.907,-1.97,9.695,0.427,2.683
20.7,1.111,10.661,-2.033,10.732,1.463,-4.207
20.75,3.235,8.851,-1.719,4.207,6.402,-5.305
20.8,1.676,9.031,-1.604,-0.854,3.476,-2.195
20.85,1.539,9.639,-1.547,0.549,4.756,-1.22
20.9,0.584,9.979,-1.269,-15.549,1.89,-4.39
20.95,0.804,9.783,-0.876,15.488,3.902,-2.439
21,1.609,9.821,-2.066,1.829,2.5,-2.866
21.05,1.336,9.218,-2.327,-1.098,3.415,-6.098
21.1,1.36,9.21,-1.293,2.134,2.927,-3.72
21.15,2.586,9.127,-2.224,1.037,3.659,-3.11
21.2,1.377,10.285,-1.949,1.707,2.256,-1.707
21.25,1.901,10.381,-2.172,-1.646,2.561,-4.085
21.3,1.417,10.118,-1.602,0.427,3.11,-3.171
21.35,1.087,10.044,-1.745,0.427,2.439,-3.049
21.4,0.919,10.034,-1.877,15.549,1.585,-2.195
21.45,1.417,9.929,-1.702,1.037,2.561,-3.11
21.5,1.123,9.845,-1.808,0.976,2.073,0.549
21.55,1.456,10.376,-1.688,1.037,1.951,-0.61
21.6,1.41,10.362,-2.083,-1.037,1.341,1.22
21.65,1.176,9.938,-1.664,1.22,3.049,-0.488
21.7,0.62,9.823,-1.604,-0.061,3.293,-4.817
21.75,0.752,10.259,-2.112,0.671,2.256,-2.744
21.8,1.336,10.032,-1.982,-15.427,3.11,-3.293
21.85,1.334,10.214,-1.961,-0.793,2.073,-3.963
21.9,0.931,9.972,-1.733,-15.549,2.317,-2.988
21.95,0.776,10.336,-1.987,-0.305,3.049,-2.622
22,1.286,10.048,-1.786,15.305,1.524,-3.537
22.05,1.022,9.881,-1.695,0.183,2.317,-2.927
22.1,1.35,10.372,-1.547,-0.366,1.768,-2.012
22.15,0.728,10.111,-1.992,0.671,2.683,-2.5
22.2,1.14,9.977,-1.717,15.549,2.439,-1.89
22.25,0.941,10.314,-1.93,0.732,2.012,-2.317
22.3,0.984,10.008,-1.853,-0.915,2.012,-2.195
22.35,1.161,9.72,-1.662,-0.305,2.134,-2.378
22.4,1.104,10.24,-1.93,-3.171,1.402,-12.073
22.45,0.22,9.728,-1.76,1.646,2.744,-7.805
22.5,-0.29,10.247,-1.391,3.171,1.22,-3.78
22.55,1.089,10.786,-3.11,-2.805,0.366,-3.171
22.6,-0.225,9.471,-1.556,-6.524,3.293,-2.073
22.65,1.788,9.764,-1.135,-4.268,-3.476,-5.976
22.7,0.699,9.962,-2.729,-5.122,2.5,-10.549
22.75,0.22,11.023,-0.792,-8.902,-15.183,-0.183
22.8,2.435,9.483,-1.207,-7.866,3.72,-7.439
22.85,0.055,9.85,-1.733,-8.537,-1.341,-8.72
22.9,0.505,10.997,-0.946,-3.902,1.89,-8.78
22.95,-0.153,8.44,-1.975,-4.817,15.122,-9.451
23,1.441,9.479,-1.59,-2.622,2.622,-11.524
23.05,1.125,9.51,-1.044,-3.841,-2.927,-7.927
