Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
15.35,-0.067,9.673,1.583,-18.171,-15.61,-4.207
15.4,-0.778,9.342,1.755,-3.78,1.951,-2.256
15.45,-0.431,9.685,1.918,4.451,3.476,-1.951
15.5,-0.168,10.02,1.01,14.573,-2.439,-6.28
15.55,-0.991,10.111,0.163,3.963,4.085,-1.28
15.6,-0.091,10.082,0.874,-10.915,2.683,-1.585
15.65,-0.893,9.938,1.094,-15.366,8.963,3.476
15.7,-0.754,9.9,0.86,-17.073,4.024,2.805
15.75,0.01,10.07,0.709,-34.634,-3.232,-10.61
15.8,-0.867,9.673,1.389,-48.476,2.073,0.976
15.85,-0.634,9.615,2.5,-42.622,13.78,7.317
15.9,-0.314,9.251,2.174,-49.451,7.927,3.659
15.95,-0.072,9.246,2.533,-47.378,5.366,-1.28
16,-0.345,8.825,2.794,-67.195,-4.512,-9.329
16.05,-0.745,8.981,2.449,-77.744,0.671,-3.78
16.1,-0.876,8.727,2.219,-104.756,0.793,0.854
16.15,-2.054,7.324,3.227,-87.561,-50.305,12.988
16.2,-0.393,7.367,6.44,-89.573,-36.707,32.256
16.25,2.698,1.257,9.565,-23.78,24.878,-5.854
16.3,1.592,6.369,9.718,17.5,8.659,10.488
16.35,1.362,7.865,8.351,-7.378,9.695,2.805
16.4,1.358,6.546,7.104,8.78,-0.793,-6.098
16.45,0.115,6.416,6.364,12.683,3.476,-2.134
16.5,0.448,6.627,5.564,14.329,-0.61,-6.22
16.55,0.903,7.166,5.294,18.232,7.805,-3.78
16.6,-0.117,7.053,5.567,18.963,10.732,-5.122
16.65,0.498,7.444,5.514,14.756,8.476,-1.707
16.7,0.304,6.917,5.758,21.829,9.817,-1.89
16.75,0.213,7.094,5.713,25.305,10.488,-2.317
16.8,0.323,7.056,5.483,39.329,13.476,-7.744
16.85,0.536,9.656,5.449,32.195,0.427,-34.695
16.9,-0.563,9.385,2.966,20.976,2.744,-30.549
