Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
10.65,-1.132,9.926,-1.621,0.732,2.5,-39.085
10.7,-1.556,9.27,-1.721,-4.817,2.195,-38.72
10.75,-2.456,9.685,-1.911,-7.378,1.89,-40.61
10.8,-3.773,8.961,-1.602,-7.012,3.72,-33.232
10.85,-4.104,9.706,-1.211,-0.793,6.524,-31.768
10.9,-4.585,9.024,-1.257,3.171,6.159,-20.061
10.95,-3.979,9.108,-1.556,6.098,8.11,-22.683
11.0,-3.912,9.546,-1.975,3.293,14.146,-28.11
11.05,-3.57,9.017,-1.484,0.61,13.537,-22.256
11.1,-4.944,10.108,-1.314,-2.195,5.549,-13.11
11.15,-4.501,8.806,-2.449,-6.524,3.659,-5.427
11.2,-4.111,8.133,-1.642,-3.598,2.622,-5.488
11.25,-4.621,8.753,-1.235,-1.22,1.402,-2.622
11.3,-3.326,9.424,-1.211,-15.305,2.805,-3.415
11.35,-4.061,8.641,-0.804,-1.646,3.902,-4.512
11.4,-4.013,8.871,-2.296,-11.159,2.134,-9.817
11.45,-3.764,8.966,-1.549,-11.341,3.659,-14.756
11.5,-4.573,9.632,-0.898,-11.159,1.28,-5.915
11.55,-3.996,8.389,-1.628,0.183,2.439,-6.707
11.6,-4.597,8.942,-1.276,-14.756,3.293,-6.524
11.65,-4.12,9.527,-1.18,-1.22,0.671,-10.61
11.7,-4.899,9.17,-0.728,-4.146,1.22,-9.756
11.75,-4.082,8.564,-1.07,-4.939,1.768,-8.232
11.8,-4.755,9.234,-1.262,-4.207,1.707,-7.439
11.85,-4.664,8.04,-0.893,-8.537,-2.439,-13.049
11.9,-4.99,8.784,-0.967,-16.829,-10.976,-13.78
11.95,-5.164,8.495,-0.345,-13.72,-13.78,-15.732
12.0,-4.688,9.055,-0.316,-13.78,-4.329,-5.0
12.05,-5.488,8.052,0.244,-3.537,-0.915,-10.549
12.1,-5.205,8.346,-0.048,-2.134,0.976,-2.561
12.15,-4.875,8.282,0.06,3.841,6.037,1.341
12.2,-4.752,9.16,-0.819,5.427,9.39,-15.305
12.25,-5.013,9.026,-0.788,5.732,6.768,-0.549
12.3,-4.286,8.672,-1.468,15.183,0.488,-5.488
12.35,-4.841,8.028,-0.263,-6.463,-1.098,-4.817
12.4,-5.116,8.538,-0.46,-1.951,1.22,-5.549
12.45,-5.176,8.14,-0.096,0.671,0.671,-1.524
12.5,-5.641,8.018,0.06,2.439,5.244,0.366
12.55,-5.768,8.42,-0.778,5.366,3.902,3.476
12.6,-4.685,8.152,-0.16,4.268,2.012,4.268
12.65,-4.432,8.612,-0.601,0.976,2.439,-1.159
12.7,-5.308,8.6,-0.567,1.89,3.232,4.024
12.75,-4.884,7.992,-0.124,3.841,4.939,2.683
12.8,-4.966,8.353,-0.718,8.902,8.72,1.098
12.85,-4.293,8.641,-0.627,8.659,10.427,4.817
12.9,-5.009,9.122,-1.367,6.951,7.988,5.854
12.95,-4.676,8.801,-1.049,5.061,7.5,0.793
13.0,-4.439,9.005,-1.188,0.671,5.915,1.402
13.05,-3.847,8.988,-0.776,5.305,4.085,-0.488
13.1,-4.678,8.746,-1.104,0.732,5.671,-1.098
13.15,-4.386,9.074,-0.967,-0.793,4.878,0.61
13.2,-4.59,8.928,-0.771,6.22,2.866,-5.122
13.25,-4.408,8.806,-1.477,-2.317,2.012,15.488
13.3,-4.135,8.78,-0.694,-0.915,1.768,-4.329
13.35,-4.762,8.641,-1.049,-15.61,2.256,-2.439
13.4,-4.453,9.11,-0.998,1.829,3.293,-1.829
13.45,-4.559,8.871,-1.087,0.244,2.378,-3.049
13.5,-4.446,8.648,-1.032,-2.195,2.195,-2.317
13.55,-4.559,8.875,-0.702,-0.488,1.768,-2.927
13.6,-4.499,8.54,-0.737,1.098,3.232,-2.012
13.65,-4.278,8.83,-0.905,0.61,2.744,-3.049
13.7,-4.652,8.758,-1.298,-1.159,2.073,-2.622
13.75,-4.518,8.813,-1.006,-0.854,2.256,-2.378
13.8,-4.506,8.674,-0.917,1.098,3.11,-1.89
13.85,-4.525,8.794,-0.967,0.671,2.988,-1.89
13.9,-4.494,8.641,-0.943,-1.159,1.89,-2.988
13.95,-4.685,8.746,-0.869,0.061,2.805,-2.073
14.0,-4.561,8.923,-0.996,0.854,3.049,-2.378
14.05,-4.683,8.811,-1.123,-0.366,2.561,-2.439
14.1,-4.515,8.76,-1.195,-0.976,1.89,-2.134
14.15,-5.025,8.657,-1.025,-0.427,1.524,2.744
14.2,-4.647,9.064,-0.974,-2.317,1.159,2.683
14.25,-4.18,8.83,-0.812,-2.134,0.61,1.89
14.3,-4.592,8.691,-0.946,1.341,1.28,1.341
14.35,-4.52,8.581,-0.936,0.305,2.561,3.11
14.4,-4.152,8.835,-0.632,0.61,2.805,3.72
14.45,-4.288,9.057,-0.965,0.183,2.134,2.561
14.5,-3.912,8.966,-0.792,-0.244,2.256,1.89
14.55,-4.142,9.098,-1.006,-2.622,1.341,1.402
14.6,-4.35,8.957,-0.845,-2.866,1.22,2.012
14.65,-4.118,9.074,-0.874,-4.329,-15.549,1.951
14.7,-4.549,9.007,-0.838,0.671,0.793,3.72
14.75,-4.427,9.103,-1.063,-2.927,1.89,3.537
14.8,-3.845,9.179,-0.84,-0.915,1.646,1.89
14.85,-2.772,9.122,-0.567,3.72,4.939,-2.866
14.9,-4.266,9.424,-1.346,-3.232,1.829,-3.415
14.95,-4.044,8.954,-0.678,-3.78,0.915,-3.841
15.0,-3.965,8.902,-0.527,0.488,1.829,-3.049
